"X"	"text"	"coref."	"correction."	"pos."	"X.1"	"trans."	"combo"
"134"	1110	"https://t.co/HEfFnF3vUQ
Obama thinks
that allowing Chelsea Manning
to adopt a Syrian orphan
finally fulfills his promise of transparency."	0	NA	NA	NA	"no"	"he-Chelsea"
"135"	6738	"I mean he condoned the torture of Chelsea Manning and put her in a male prison but hey, thanks https://t.co/74QZoIstFS"	0	NA	NA	NA	"yes"	"he-Chelsea"
"136"	1549	"I'm pissed AF that USERBarackObama didn't pardon #MarcusGarvey but he commuted Chelsea Manning who committed espionage! Damn bruh!"	0	NA	NA	NA	"no"	"he-Chelsea"
"137"	3406	"It took the man the last days of his presidency to pardon Chelsea Manning, but still refuses to pardon Edward Snowden &amp; Leonard Peltier."	0	NA	NA	NA	"no"	"he-Chelsea"
"138"	7410	"Jesse Lee Peterson: Obama Commuted Chelsea Manning’s Sentence Because He Has A Weakness For Gay &amp; Trans People #RWW https://t.co/pKgewIMKeN"	0	NA	NA	NA	"yes"	"he-Chelsea"
"139"	2434	"Julian Assange confirms he will go to the US following Chelsea Manning's release #London #PR #News https://t.co/Q5HBvvmXdc"	0	NA	NA	NA	"no"	"he-Chelsea"
"140"	3724	"Julian Assange of Wikileaks stands by his decision to face trial now that Chelsea Manning is being released https://t.co/gMFXsyB5QD"	0	NA	NA	NA	"no"	"he-Chelsea"
"141"	7321	"Julian Assange said he'd accept extradition to the US if Chelsea Manning were set free. He says he'll stand by word… https://t.co/0a4kV0IhHv"	0	NA	NA	NA	"no"	"he-Chelsea"
"142"	2346	"Julian Assange stands by his decision to face trial now that Chelsea Manning is being released https://t.co/e4UYaMA357 #Wikileaks #G"	0	NA	NA	NA	"no"	"he-Chelsea"
"143"	6226	"Not only did USERPotus commute Chelsea Manning's sentence, he also promised her a new wardrobe and makeover! https://t.co/Ji3qmcBlXh"	0	NA	NA	NA	"yes"	"he-Chelsea"
"144"	2673	"NOW on KNF: Fmr Director of the CIA &amp; NSA - General Michael Hayden!  Watch live on https://t.co/oPNnBtCGOs will ask him abt Chelsea Manning"	0	NA	NA	NA	"no"	"he-Chelsea"
"145"	7438	"Obama can free Chelsea Manning, but what the hell has he done for Ke$ha"	0	NA	NA	NA	"no"	"he-Chelsea"
"146"	6074	"Obama commuting Chelsea Manning just shows he's weak and only wants to line his pockets"	0	NA	NA	NA	"no"	"he-Chelsea"
"147"	2972	"Obama Explains Why He Commuted the Sentence of Chelsea Manning https://t.co/v6dM86F3NH USERWISEUpAction"	0	NA	NA	NA	"no"	"he-Chelsea"
